task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	cb/d24396	1264770	pb16S:write_log	COMPLETED	0	2026-07-02 10:48:09.317	2.5s	4ms	152.4%	0	0	74 KB	2.5 KB
6	5e/f1ec75	1264763	pb16S:QC_fastq (5)	COMPLETED	0	2026-07-02 10:48:09.297	4.1s	1.8s	216.4%	30.6 MB	1.6 GB	69.1 MB	26.4 MB
3	42/7dd528	1265673	pb16S:QC_fastq (2)	COMPLETED	0	2026-07-02 10:48:13.429	3.3s	983ms	209.0%	29.9 MB	1.6 GB	39 MB	15 MB
2	0e/12edb3	1266173	pb16S:QC_fastq (1)	COMPLETED	0	2026-07-02 10:48:16.753	4.9s	2.6s	240.0%	49.2 MB	1.6 GB	113.9 MB	44.2 MB
5	0a/df068b	1266798	pb16S:QC_fastq (4)	COMPLETED	0	2026-07-02 10:48:21.633	4.3s	2s	221.2%	37 MB	1.6 GB	85.3 MB	32.7 MB
7	88/7fd35d	1267378	pb16S:QC_fastq (6)	COMPLETED	0	2026-07-02 10:48:25.891	4.6s	2.4s	237.1%	49.7 MB	1.6 GB	102.4 MB	39.4 MB
4	fb/fd930e	1268010	pb16S:QC_fastq (3)	COMPLETED	0	2026-07-02 10:48:30.514	4.1s	1.8s	240.8%	34.3 MB	1.6 GB	77.9 MB	30.1 MB
8	6e/f61c85	1268581	pb16S:cutadapt (1)	COMPLETED	0	2026-07-02 10:48:34.585	4.9s	1.1s	787.8%	53.7 MB	900.5 MB	224.7 MB	221 MB
9	4c/5fd69b	1269495	pb16S:cutadapt (2)	COMPLETED	0	2026-07-02 10:48:39.452	4.7s	823ms	595.3%	16 MB	463.3 MB	127.7 MB	123.6 MB
10	b1/681c42	1270150	pb16S:cutadapt (3)	COMPLETED	0	2026-07-02 10:48:44.188	5.7s	2.1s	971.4%	341 MB	7.3 GB	492.1 MB	487 MB
11	43/f445dd	1270967	pb16S:cutadapt (4)	COMPLETED	0	2026-07-02 10:48:49.859	5s	1.4s	847.1%	75.9 MB	1.1 GB	302.7 MB	298.6 MB
12	ca/d8f059	1271765	pb16S:cutadapt (5)	COMPLETED	0	2026-07-02 10:48:54.842	5.4s	1.8s	843.5%	348.6 MB	7.3 GB	408.1 MB	403.4 MB
