Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	boot.Kingdom	boot.Phylum	boot.Class	boot.Order	boot.Family	boot.Genus	boot.Species	Assignment
ad6058d9eaeb0b0beb18fd1364492cd3	Bacteria	Bacillota_I	Bacilli_A	NA	NA	NA	NA	100	87	87	67	63	63	63	GTDB r207
2894cf66e8fe24dd47ffcdf45d3aeafa	Bacteria	Bacillota_I	Bacilli_A	NA	NA	NA	NA	100	90	90	74	66	66	66	GTDB r207
5541a2cb381854270ecf7fc47acf66e7	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA	100	100	100	100	100	100	34	GTDB r207
2413c0238635660f99dccb0708d827b6	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA	100	100	100	100	100	100	59	GTDB r207
ef3f45feba5e83d4bcecc2ee448e6a91	Bacteria	Bacillota_I	Bacilli_A	NA	NA	NA	NA	100	89	89	74	65	65	65	GTDB r207
a0013f1091bc357e5e684bd28c12b6b3	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA	100	100	100	100	100	100	69	GTDB r207
694df6c5325fcc0ad52b9e48c8aa5f6c	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA	100	100	100	100	100	100	43	GTDB r207
96b9871f0e32c20d411fd1fa1935cf43	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA	100	100	100	100	100	100	41	GTDB r207
14d0c29a49c13e46a0a8bef1324dc43b	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA	100	100	100	100	100	100	33	GTDB r207
511bded5a4fd38b27ce6103e6045c401	Bacteria	Bacillota_I	Bacilli_A	NA	NA	NA	NA	100	94	94	64	64	12	11	GTDB r207
b4f23108788d74a69f0f08a6edba2cc2	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA	100	100	100	100	100	100	46	GTDB r207
a1b216d6791af218df41b77aa50d2653	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA	100	100	100	100	100	100	79	GTDB r207
