#id	length	GC	avg.qual	sample
SRR23295635.2	1444	60.32	36.77	SRR23295635
SRR23295635.3	1484	49.93	31.72	SRR23295635
SRR23295635.4	1420	53.94	26.36	SRR23295635
SRR23295635.5	1416	56.57	29.61	SRR23295635
SRR23295635.6	1427	54.94	65.26	SRR23295635
SRR23295635.7	1433	54.36	26.71	SRR23295635
SRR23295635.8	1409	39.32	92.73	SRR23295635
SRR23295635.9	1421	55.52	33.36	SRR23295635
SRR23295635.10	1482	49.60	54.70	SRR23295635
SRR23295635.11	1463	50.44	20.08	SRR23295635
SRR23295635.12	1468	56.06	21.53	SRR23295635
SRR23295635.13	1427	56.20	41.54	SRR23295635
SRR23295635.14	1561	55.99	92.95	SRR23295635
SRR23295635.15	1438	55.63	40.08	SRR23295635
SRR23295635.16	1446	56.09	50.79	SRR23295635
SRR23295635.17	1448	51.45	64.35	SRR23295635
SRR23295635.18	1471	57.72	20.84	SRR23295635
SRR23295635.19	1415	57.03	31.88	SRR23295635
SRR23295635.20	1412	49.79	32.02	SRR23295635
SRR23295635.21	1472	49.86	21.81	SRR23295635
SRR23295635.22	861	56.21	93.00	SRR23295635
SRR23295635.23	1411	54.08	37.96	SRR23295635
SRR23295635.24	1452	57.16	35.57	SRR23295635
SRR23295635.25	1434	55.44	34.63	SRR23295635
SRR23295635.26	1497	56.85	27.89	SRR23295635
SRR23295635.27	1458	55.56	23.31	SRR23295635
SRR23295635.28	1444	55.82	89.15	SRR23295635
SRR23295635.29	1407	57.78	59.16	SRR23295635
SRR23295635.30	1483	55.90	25.12	SRR23295635
SRR23295635.31	1447	57.64	29.99	SRR23295635
SRR23295635.32	1525	51.41	35.70	SRR23295635
SRR23295635.33	1485	55.35	48.18	SRR23295635
SRR23295635.34	1463	58.17	22.21	SRR23295635
SRR23295635.35	1447	55.56	47.05	SRR23295635
SRR23295635.36	1456	57.28	28.69	SRR23295635
SRR23295635.37	1427	45.20	93.00	SRR23295635
SRR23295635.38	1409	39.32	92.95	SRR23295635
SRR23295635.39	1387	56.38	91.66	SRR23295635
SRR23295635.40	1463	56.60	44.66	SRR23295635
SRR23295635.41	1467	59.37	30.68	SRR23295635
SRR23295635.42	1424	52.74	93.00	SRR23295635
SRR23295635.43	1476	55.35	25.35	SRR23295635
SRR23295635.44	1427	55.01	21.78	SRR23295635
SRR23295635.45	1549	32.15	22.22	SRR23295635
SRR23295635.46	1473	58.93	21.40	SRR23295635
SRR23295635.47	1408	56.04	38.02	SRR23295635
SRR23295635.48	1446	56.09	35.23	SRR23295635
SRR23295635.49	1387	56.52	91.86	SRR23295635
SRR23295635.50	1421	56.02	26.77	SRR23295635
SRR23295635.51	1483	49.36	34.71	SRR23295635
SRR23295635.52	1464	56.90	24.88	SRR23295635
SRR23295635.53	1468	55.65	23.18	SRR23295635
SRR23295635.54	1481	49.43	69.66	SRR23295635
SRR23295635.55	1459	59.01	43.63	SRR23295635
SRR23295635.56	1457	56.83	29.65	SRR23295635
SRR23295635.57	1484	55.39	33.93	SRR23295635
SRR23295635.58	1483	49.49	44.59	SRR23295635
SRR23295635.59	1420	51.27	92.89	SRR23295635
SRR23295635.60	1503	53.03	28.12	SRR23295635
SRR23295635.61	1481	49.49	33.71	SRR23295635
